rank,english_variable_validation,english_same_test
101,74.33628318584071,74.33628318584071
102,74.33628318584071,74.77876106194691
103,74.33628318584071,75.22123893805309
104,74.77876106194691,75.66371681415929
105,74.77876106194691,77.43362831858407
106,75.66371681415929,77.43362831858407
107,76.54867256637168,77.87610619469027
108,76.54867256637168,78.31858407079646
109,76.99115044247787,78.31858407079646
110,77.87610619469027,78.31858407079646
111,77.87610619469027,78.31858407079646
112,78.31858407079646,78.31858407079646
113,78.31858407079646,78.31858407079646
114,78.31858407079646,78.76106194690266
115,78.31858407079646,78.76106194690266
116,78.76106194690266,79.64601769911505
117,78.76106194690266,80.08849557522124
118,78.76106194690266,80.08849557522124
119,78.76106194690266,80.08849557522124
120,79.20353982300885,80.97345132743364
121,79.20353982300885,80.97345132743364
122,79.20353982300885,80.97345132743364
123,79.64601769911505,81.41592920353983
124,80.08849557522124,81.41592920353983
125,80.08849557522124,81.41592920353983
126,80.08849557522124,81.85840707964603
127,80.08849557522124,82.30088495575221
128,80.08849557522124,83.1858407079646
129,80.08849557522124,83.6283185840708
130,80.08849557522124,83.6283185840708
131,80.53097345132744,84.070796460177
132,80.53097345132744,84.51327433628319
133,80.53097345132744,84.51327433628319
134,80.53097345132744,84.95575221238938
135,80.53097345132744,84.95575221238938
136,80.53097345132744,85.39823008849558
137,81.41592920353983,85.39823008849558
138,81.41592920353983,85.39823008849558
139,81.85840707964603,85.39823008849558
140,82.30088495575221,85.39823008849558
141,82.30088495575221,85.39823008849558
142,82.30088495575221,85.84070796460178
143,82.30088495575221,85.84070796460178
144,83.1858407079646,86.28318584070797
145,83.1858407079646,86.28318584070797
146,83.1858407079646,86.28318584070797
147,83.1858407079646,86.28318584070797
148,83.1858407079646,86.28318584070797
149,83.1858407079646,86.28318584070797
150,83.6283185840708,86.28318584070797
151,83.6283185840708,86.28318584070797
152,84.070796460177,86.72566371681415
153,84.95575221238938,87.16814159292035
154,85.39823008849558,88.05309734513274
155,86.28318584070797,88.93805309734513
156,86.72566371681415,88.93805309734513
157,87.16814159292035,89.38053097345133
158,87.16814159292035,89.38053097345133
159,87.16814159292035,89.82300884955751
160,87.61061946902655,89.82300884955751
161,88.49557522123894,90.7079646017699
162,88.93805309734513,91.1504424778761
163,88.93805309734513,91.1504424778761
164,89.82300884955751,91.1504424778761
165,90.2654867256637,91.1504424778761
166,90.2654867256637,91.5929203539823
167,90.2654867256637,91.5929203539823
168,90.2654867256637,91.5929203539823
169,90.2654867256637,92.03539823008849
170,90.2654867256637,92.03539823008849
171,90.2654867256637,92.47787610619469
172,90.2654867256637,92.47787610619469
173,90.2654867256637,92.47787610619469
174,90.7079646017699,92.47787610619469
175,90.7079646017699,92.47787610619469
176,90.7079646017699,92.47787610619469
177,90.7079646017699,92.47787610619469
178,91.1504424778761,92.47787610619469
179,91.1504424778761,92.92035398230088
180,91.1504424778761,92.92035398230088
181,91.1504424778761,92.92035398230088
182,92.03539823008849,93.36283185840708
183,92.47787610619469,94.24778761061947
184,93.36283185840708,95.57522123893806
185,93.36283185840708,95.57522123893806
186,93.36283185840708,96.46017699115043
187,93.36283185840708,96.46017699115043
188,93.36283185840708,96.46017699115043
189,93.36283185840708,96.46017699115043
190,93.80530973451327,96.90265486725663
191,94.24778761061947,96.90265486725663
192,94.24778761061947,96.90265486725663
193,94.24778761061947,96.90265486725663
194,94.24778761061947,96.90265486725663
195,94.69026548672566,96.90265486725663
196,94.69026548672566,96.90265486725663
197,94.69026548672566,96.90265486725663
198,95.13274336283186,96.90265486725663
199,95.13274336283186,96.90265486725663
200,95.57522123893806,96.90265486725663
201,96.01769911504425,97.34513274336283
202,96.01769911504425,97.34513274336283
203,96.01769911504425,97.34513274336283
204,96.01769911504425,97.78761061946902
205,96.01769911504425,97.78761061946902
206,96.01769911504425,98.23008849557522
207,96.01769911504425,98.23008849557522
208,96.90265486725663,98.23008849557522
209,97.34513274336283,98.23008849557522
210,97.34513274336283,98.23008849557522
211,97.34513274336283,98.23008849557522
212,97.34513274336283,98.23008849557522
213,97.78761061946902,98.67256637168141
214,98.67256637168141,98.67256637168141
215,98.67256637168141,99.11504424778761
216,98.67256637168141,99.11504424778761
217,98.67256637168141,99.11504424778761
218,98.67256637168141,99.11504424778761
219,98.67256637168141,99.11504424778761
220,99.11504424778761,99.11504424778761
221,99.11504424778761,99.5575221238938
222,99.11504424778761,99.5575221238938
223,99.11504424778761,99.5575221238938
224,99.11504424778761,100.0
225,100.0,100.0
226,100.0,100.0
